Detector;Time;qPKW;vPKW
46684V1842951_1;120;5;40
20570V72811_4;120;16;40
27372V72852_1;120;12;40
46684V1842951_2;120;3;40
06970V72811_3;120;5;40
81077V72158_2;180;5;40
17961V72812_6;180;1;40
73951V2394243_1;180;71;40
35002V72811_3;180;25;40
77022V72359_2;180;6;40
16219V72812_4;180;4;40
81077V72158_1;180;3;40
10236V72161_4;180;15;40
21801V72158_2;180;4;40
17961V72812_5;180;1;40
65625V41945_2;180;6;40
04300V72813_3;180;10;40
78492V2394249_1;180;1;40
27372V72852_1;180;8;40
17961V72812_4;180;1;40
21801V72158_1;180;8;40
27372V72852_2;180;7;40
06970V72811_1;180;21;40
46684V1842951_1;180;3;40
10236V72161_2;180;10;40
10236V72161_3;180;7;40
04211V1677432_1;180;5;40
36935V72359_2;180;6;40
06970V72811_5;180;21;40
21571V2394246_1;180;415;40
88356V72157_6;180;3;40
04211V1677432_2;180;2;40
35002V72811_2;180;11;40
06970V72811_6;180;10;40
36935V72359_1;180;3;40
34938V72813_1;180;13;40
06970V72811_4;180;25;40
21571V2394246_3;180;778;40
44210V2411509_1;180;4;40
35002V72811_1;180;2;40
16219V72812_3;180;2;40
88356V72157_4;180;1;40
81077V72158_4;180;2;40
34938V72813_2;180;19;40
63028V72219_1;180;5;40
88356V72157_2;180;10;40
10236V72161_1;180;5;40
06970V72811_3;180;14;40
88356V72157_1;180;4;40
46684V1842951_2;180;3;40
16219V72812_2;180;14;40
81077V72158_3;180;6;40
04300V72813_1;180;16;40
77022V72359_1;180;9;40
73951V2394243_3;180;567;40
06970V72811_2;180;7;40
16219V72812_1;180;16;40
78492V2394249_2;180;4;40
81008V41567_1;180;1;40
20570V72811_1;180;2;40
17961V72812_3;180;4;40
06750V2429605_2;180;4;40
78492V2394249_3;180;10;40
44656V72812_3;180;1;40
44656V72812_2;180;11;40
06750V2429605_1;180;7;40
75341V41863_1;180;4;40
20570V72811_4;180;19;40
06750V2429605_3;180;1;40
17961V72812_1;180;1;40
75341V41863_2;180;6;40
20570V72811_2;180;6;40
44656V72812_1;180;15;40
20570V72811_3;180;25;40
40649V2411511_1;180;50;40
78492V2394249_4;180;8;40
06750V2429605_4;180;2;40
17961V72812_2;180;3;40
03476V41818_1;180;1;40
03476V41818_2;180;9;40
44656V72812_4;180;5;40
88356V72157_6;240;3;40
17961V72812_2;240;10;40
63028V72219_1;240;9;40
06970V72811_5;240;60;40
75341V41863_2;240;18;40
77022V72359_1;240;11;40
81077V72158_3;240;12;40
04211V1677432_1;240;17;40
21571V2394246_1;240;118;40
06970V72811_6;240;21;40
21571V2394246_3;240;698;40
81077V72158_4;240;39;40
36935V72359_1;240;9;40
88356V72157_4;240;1;40
78492V2394249_4;240;17;40
20570V72811_2;240;21;40
88356V72157_1;240;3;40
44656V72812_3;240;1;40
16219V72812_1;240;18;40
88356V72157_2;240;30;40
16219V72812_2;240;13;40
