Detector,Time,qPKW
16219V72812_1,930,2
27372V72852_2,940,1
10236V72161_1,950,1
10236V72161_2,950,1
04300V72813_3,960,1
10236V72161_1,960,1
21801V72158_2,960,1
27372V72852_1,960,1
88356V72157_1,960,1
04300V72813_1,970,1
04300V72813_3,970,1
88356V72157_6,970,1
04300V72813_3,980,1
10236V72161_4,980,1
16219V72812_2,980,1
21801V72158_1,980,1
27372V72852_1,980,1
81077V72158_2,980,1
10236V72161_1,990,1
10236V72161_4,990,1
04211V1677432_2,1000,1
10236V72161_2,1000,1
10236V72161_4,1000,1
16219V72812_1,1000,1
04211V1677432_2,1010,1
04300V72813_1,1010,1
16219V72812_1,1010,1
04211V1677432_2,1020,1
10236V72161_3,1020,1
16219V72812_1,1020,1
81077V72158_3,1020,1
04211V1677432_2,1030,1
04300V72813_1,1030,1
10236V72161_1,1030,1
10236V72161_2,1030,2
16219V72812_1,1030,1
16219V72812_2,1030,1
21801V72158_1,1030,1
27372V72852_1,1030,1
81077V72158_2,1030,1
04211V1677432_2,1040,1
04300V72813_1,1040,1
10236V72161_2,1040,1
10236V72161_3,1040,1
16219V72812_2,1040,1
21801V72158_1,1040,1
04211V1677432_2,1050,1
16219V72812_1,1050,2
16219V72812_2,1050,1
16219V72812_4,1050,1
04211V1677432_2,1060,1
10236V72161_1,1060,1
10236V72161_4,1060,1
16219V72812_1,1060,1
04211V1677432_2,1070,1
10236V72161_4,1070,1
16219V72812_2,1070,1
21801V72158_2,1070,1
81077V72158_1,1070,1
88356V72157_6,1070,1
04211V1677432_2,1080,1
10236V72161_1,1080,1
16219V72812_2,1080,1
21801V72158_2,1080,1
27372V72852_1,1080,1
27372V72852_2,1080,1
81077V72158_2,1080,1
04211V1677432_2,1090,1
04300V72813_1,1090,1
10236V72161_1,1090,1
16219V72812_2,1090,2
21801V72158_1,1100,1
27372V72852_1,1100,1
04211V1677432_1,1110,1
04300V72813_3,1110,1
10236V72161_1,1110,1
10236V72161_3,1110,1
10236V72161_4,1110,1
16219V72812_1,1110,1
16219V72812_4,1110,1
21801V72158_1,1110,1
27372V72852_1,1110,1
04300V72813_1,1120,1
10236V72161_1,1120,1
16219V72812_2,1120,1
27372V72852_2,1120,1
04300V72813_3,1130,1
10236V72161_3,1130,1
16219V72812_1,1130,1
16219V72812_2,1130,1
10236V72161_3,1140,1
27372V72852_1,1140,1
81077V72158_2,1140,1
04300V72813_3,1150,1
10236V72161_1,1150,1
10236V72161_2,1150,1
16219V72812_1,1150,1
27372V72852_2,1150,1
04300V72813_1,1160,1
04300V72813_3,1160,1
16219V72812_1,1160,1
21801V72158_1,1160,1
27372V72852_1,1160,1
16219V72812_1,1170,1
16219V72812_2,1170,1
21801V72158_2,1170,1
81077V72158_3,1170,1
10236V72161_2,1180,2
16219V72812_1,1180,1
16219V72812_2,1180,1
21801V72158_1,1180,1
04300V72813_3,1190,1
