Detector;Time;qPKW;vPKW
16219V72812_3;480;73;40
27372V72852_2;480;457;40
81077V72158_3;480;324;40
81077V72158_1;480;362;40
21801V72158_2;480;368;40
16219V72812_4;480;262;40
16219V72812_1;480;470;40
16219V72812_2;480;666;40
81077V72158_4;480;144;40
88356V72157_6;480;139;40
88356V72157_4;480;9;40
88356V72157_2;480;24;40
04300V72813_1;480;219;40
10236V72161_2;480;248;40
10236V72161_3;480;81;40
21801V72158_1;480;338;40
04211V1677432_2;480;211;40
10236V72161_1;480;125;40
88356V72157_1;480;125;40
88356V72157_6;540;98;40
81077V72158_3;540;238;40
04300V72813_1;540;115;40
27372V72852_1;540;156;40
16219V72812_3;540;58;40
27372V72852_2;540;261;40
21801V72158_1;540;226;40
21801V72158_2;540;218;40
04211V1677432_2;540;136;40
16219V72812_4;540;126;40
10236V72161_2;540;166;40
81077V72158_1;540;189;40
10236V72161_3;540;68;40
04211V1677432_1;540;84;40
16219V72812_1;540;367;40
16219V72812_2;540;510;40
88356V72157_4;540;8;40
81077V72158_4;540;161;40
04300V72813_3;540;134;40
88356V72157_2;540;18;40
81077V72158_2;540;212;40
10236V72161_1;540;116;40
10236V72161_4;540;41;40
88356V72157_1;540;98;40
88356V72157_6;600;108;40
04211V1677432_2;600;127;40
16219V72812_2;600;519;40
88356V72157_2;600;16;40
16219V72812_3;600;74;40
10236V72161_2;600;155;40
04300V72813_1;600;157;40
81077V72158_4;600;159;40
21801V72158_1;600;306;40
16219V72812_1;600;439;40
27372V72852_2;600;251;40
21801V72158_2;600;206;40
16219V72812_4;600;122;40
88356V72157_1;600;75;40
10236V72161_1;600;102;40
27372V72852_1;600;225;40
88356V72157_4;600;17;40
81077V72158_1;600;209;40
04211V1677432_1;600;87;40
10236V72161_3;600;62;40
10236V72161_4;600;38;40
81077V72158_2;600;258;40
04300V72813_3;600;129;40
81077V72158_3;600;206;40
10236V72161_2;660;191;40
04211V1677432_1;660;110;40
81077V72158_2;660;292;40
04300V72813_3;660;148;40
21801V72158_2;660;239;40
88356V72157_6;660;97;40
88356V72157_4;660;11;40
16219V72812_1;660;400;40
10236V72161_4;660;28;40
81077V72158_4;660;124;40
16219V72812_2;660;582;40
04211V1677432_2;660;139;40
16219V72812_4;660;130;40
88356V72157_1;660;139;40
21801V72158_1;660;323;40
10236V72161_3;660;81;40
81077V72158_3;660;235;40
10236V72161_1;660;123;40
88356V72157_2;660;19;40
16219V72812_3;660;63;40
27372V72852_2;660;231;40
27372V72852_1;660;245;40
04300V72813_1;660;151;40
81077V72158_1;660;224;40
16219V72812_3;720;66;40
21801V72158_1;720;314;40
88356V72157_2;720;37;40
81077V72158_4;720;122;40
10236V72161_1;720;114;40
88356V72157_4;720;7;40
21801V72158_2;720;209;40
81077V72158_1;720;210;40
81077V72158_3;720;236;40
04211V1677432_2;720;114;40
16219V72812_4;720;125;40
81077V72158_2;720;335;40
88356V72157_6;720;125;40
16219V72812_2;720;566;40
10236V72161_2;720;204;40
10236V72161_3;720;79;40
27372V72852_2;720;211;40
27372V72852_1;720;241;40
04300V72813_3;720;154;40
10236V72161_4;720;20;40
04300V72813_1;720;177;40
88356V72157_1;720;113;40
16219V72812_1;720;463;40
04211V1677432_1;720;113;40
10236V72161_2;780;181;40
21801V72158_2;780;203;40
10236V72161_1;780;143;40
88356V72157_2;780;34;40
04211V1677432_2;780;125;40
88356V72157_4;780;18;40
04300V72813_1;780;143;40
10236V72161_3;780;83;40
21801V72158_1;780;342;40
16219V72812_4;780;102;40
16219V72812_1;780;505;40
16219V72812_3;780;80;40
81077V72158_1;780;193;40
81077V72158_4;780;161;40
88356V72157_1;780;105;40
04211V1677432_1;780;166;40
16219V72812_2;780;524;40
27372V72852_2;780;216;40
10236V72161_4;780;23;40
04300V72813_3;780;153;40
81077V72158_2;780;381;40
88356V72157_6;780;130;40
27372V72852_1;780;269;40
81077V72158_3;780;235;40
88356V72157_2;840;16;40
16219V72812_4;840;86;40
88356V72157_6;840;121;40
10236V72161_3;840;91;40
88356V72157_4;840;11;40
10236V72161_1;840;125;40
81077V72158_1;840;261;40
04211V1677432_1;840;318;40
10236V72161_4;840;14;40
81077V72158_2;840;474;40
81077V72158_3;840;276;40
27372V72852_1;840;356;40
88356V72157_1;840;152;40
27372V72852_2;840;225;40
81077V72158_4;840;343;40
16219V72812_2;840;558;40
16219V72812_1;840;558;40
10236V72161_2;840;171;40
04211V1677432_2;840;112;40
04300V72813_1;840;186;40
16219V72812_3;840;79;40
21801V72158_2;840;231;40
04300V72813_3;840;183;40
21801V72158_1;840;393;40
27372V72852_2;900;243;40
88356V72157_1;900;166;40
04300V72813_3;900;283;40
04211V1677432_1;900;266;40
81077V72158_1;900;468;40
88356V72157_6;900;166;40
16219V72812_1;900;660;40
10236V72161_3;900;143;40
10236V72161_4;900;30;40
21801V72158_1;900;430;40
27372V72852_1;900;619;40
10236V72161_2;900;252;40
16219V72812_2;900;646;40
04211V1677432_2;900;158;40
21801V72158_2;900;230;40
81077V72158_2;900;380;40
16219V72812_4;900;117;40
88356V72157_2;900;25;40
10236V72161_1;900;184;40
81077V72158_3;900;387;40
81077V72158_4;900;177;40
88356V72157_4;900;11;40
04300V72813_1;900;255;40
16219V72812_3;900;137;40
88356V72157_6;960;138;40
04300V72813_3;960;283;40
04211V1677432_1;960;168;40
04211V1677432_2;960;137;40
81077V72158_4;960;187;40
81077V72158_2;960;622;40
16219V72812_1;960;597;40
88356V72157_1;960;160;40
04300V72813_1;960;225;40
16219V72812_2;960;689;40
10236V72161_3;960;145;40
81077V72158_1;960;430;40
21801V72158_1;960;419;40
16219V72812_3;960;110;40
10236V72161_2;960;211;40
16219V72812_4;960;113;40
27372V72852_1;960;624;40
10236V72161_1;960;201;40
88356V72157_2;960;15;40
88356V72157_4;960;9;40
21801V72158_2;960;283;40
27372V72852_2;960;244;40
81077V72158_3;960;349;40
04300V72813_1;1020;193;40
88356V72157_2;1020;16;40
21801V72158_1;1020;311;40
81077V72158_4;1020;172;40
81077V72158_3;1020;270;40
88356V72157_1;1020;114;40
04300V72813_3;1020;229;40
16219V72812_3;1020;44;40
10236V72161_3;1020;107;40
88356V72157_4;1020;6;40
81077V72158_1;1020;311;40
16219V72812_1;1020;423;40
27372V72852_1;1020;328;40
04211V1677432_1;1020;167;40
04211V1677432_2;1020;135;40
10236V72161_1;1020;131;40
27372V72852_2;1020;278;40
10236V72161_2;1020;196;40
81077V72158_2;1020;471;40
16219V72812_2;1020;560;40
21801V72158_2;1020;247;40
88356V72157_6;1020;104;40
16219V72812_4;1020;95;40
88356V72157_6;1080;103;40
10236V72161_2;1080;157;40
16219V72812_3;1080;42;40
16219V72812_1;1080;451;40
04300V72813_1;1080;207;40
04211V1677432_1;1080;153;40
16219V72812_2;1080;556;40
10236V72161_3;1080;96;40
27372V72852_1;1080;335;40
81077V72158_3;1080;262;40
04300V72813_3;1080;192;40
21801V72158_2;1080;212;40
81077V72158_2;1080;410;40
04211V1677432_2;1080;140;40
88356V72157_2;1080;13;40
27372V72852_2;1080;282;40
21801V72158_1;1080;314;40
81077V72158_4;1080;127;40
81077V72158_1;1080;269;40
10236V72161_1;1080;93;40
88356V72157_1;1080;89;40
16219V72812_4;1080;80;40
88356V72157_4;1080;5;40
27372V72852_1;1140;270;40
16219V72812_1;1140;400;40
04211V1677432_1;1140;123;40
81077V72158_4;1140;66;40
88356V72157_6;1140;79;40
88356V72157_1;1140;75;40
81077V72158_2;1140;455;40
27372V72852_2;1140;205;40
10236V72161_1;1140;106;40
04211V1677432_2;1140;135;40
88356V72157_2;1140;10;40
21801V72158_1;1140;258;40
81077V72158_1;1140;253;40
16219V72812_4;1140;61;40
81077V72158_3;1140;240;40
21801V72158_2;1140;176;40
88356V72157_4;1140;11;40
04300V72813_1;1140;167;40
16219V72812_3;1140;37;40
10236V72161_3;1140;94;40
04300V72813_3;1140;174;40
16219V72812_2;1140;383;40
10236V72161_2;1140;126;40
10236V72161_2;1200;125;40
10236V72161_1;1200;94;40
21801V72158_2;1200;119;40
27372V72852_1;1200;224;40
04300V72813_3;1200;170;40
21801V72158_1;1200;208;40
04211V1677432_1;1200;76;40
04211V1677432_2;1200;125;40
88356V72157_1;1200;80;40
10236V72161_3;1200;90;40
81077V72158_2;1200;344;40
16219V72812_3;1200;36;40
04300V72813_1;1200;128;40
16219V72812_1;1200;380;40
88356V72157_4;1200;6;40
81077V72158_4;1200;53;40
81077V72158_3;1200;228;40
16219V72812_4;1200;47;40
88356V72157_6;1200;94;40
27372V72852_2;1200;177;40
88356V72157_2;1200;6;40
81077V72158_1;1200;169;40
16219V72812_2;1200;315;40
16219V72812_4;1260;36;40
81077V72158_1;1260;122;40
04300V72813_3;1260;132;40
81077V72158_3;1260;135;40
10236V72161_1;1260;80;40
21801V72158_2;1260;71;40
21801V72158_1;1260;199;40
81077V72158_2;1260;236;40
10236V72161_2;1260;95;40
16219V72812_3;1260;44;40
04211V1677432_2;1260;98;40
04300V72813_1;1260;119;40
88356V72157_4;1260;10;40
16219V72812_2;1260;264;40
81077V72158_4;1260;22;40
27372V72852_2;1260;140;40
04211V1677432_1;1260;52;40
88356V72157_1;1260;49;40
10236V72161_3;1260;64;40
16219V72812_1;1260;357;40
27372V72852_1;1260;266;40
88356V72157_6;1260;57;40
88356V72157_1;1320;44;40
