Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Volum;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;16,0m - 24,0m;>= 24,0m
04211V1677432;Nye Ilsvikøra;FV715 S1D1 m20;2020-02-01T00:00+01:00;2020-02-01T01:00+01:00;2020-02-01;00:00;01:00;17;100,0;1;1;0;0;100,00;1;16;1;0;1;0;0;0
04211V1677432;Nye Ilsvikøra;FV715 S1D1 m20;2020-02-01T00:00+01:00;2020-02-01T01:00+01:00;2020-02-01;00:00;01:00;18;100,0;1;1;0;0;100,00;2;17;1;0;0;1;0;0
04211V1677432;Nye Ilsvikøra;FV715 S1D1 m20;2020-02-01T00:00+01:00;2020-02-01T01:00+01:00;2020-02-01;00:00;01:00;17;100,0;1;1;0;0;100,00;Totalt i retning Flakk;16;1;0;1;0;0;0
04211V1677432;Nye Ilsvikøra;FV715 S1D1 m20;2020-02-01T00:00+01:00;2020-02-01T01:00+01:00;2020-02-01;00:00;01:00;18;100,0;1;1;0;0;100,00;Totalt i retning Ila;17;1;0;0;1;0;0
04211V1677432;Nye Ilsvikøra;FV715 S1D1 m20;2020-02-01T00:00+01:00;2020-02-01T01:00+01:00;2020-02-01;00:00;01:00;35;100,0;1;1;0;0;100,00;Totalt;33;2;0;1;1;0;0
04211V1677432;Nye Ilsvikøra;FV715 S1D1 m20;2020-02-01T01:00+01:00;2020-02-01T02:00+01:00;2020-02-01;01:00;02:00;12;100,0;1;1;0;0;100,00;1;12;0;0;0;0;0;0
04211V1677432;Nye Ilsvikøra;FV715 S1D1 m20;2020-02-01T01:00+01:00;2020-02-01T02:00+01:00;2020-02-01;01:00;02:00;10;100,0;1;1;0;0;100,00;2;10;0;0;0;0;0;0
04211V1677432;Nye Ilsvikøra;FV715 S1D1 m20;2020-02-01T01:00+01:00;2020-02-01T02:00+01:00;2020-02-01;01:00;02:00;12;100,0;1;1;0;0;100,00;Totalt i retning Flakk;12;0;0;0;0;0;0
04211V1677432;Nye Ilsvikøra;FV715 S1D1 m20;2020-02-01T01:00+01:00;2020-02-01T02:00+01:00;2020-02-01;01:00;02:00;10;100,0;1;1;0;0;100,00;Totalt i retning Ila;10;0;0;0;0;0;0
04211V1677432;Nye Ilsvikøra;FV715 S1D1 m20;2020-02-01T01:00+01:00;2020-02-01T02:00+01:00;2020-02-01;01:00;02:00;22;100,0;1;1;0;0;100,00;Totalt;22;0;0;0;0;0;0
04211V1677432;Nye Ilsvikøra;FV715 S1D1 m20;2020-02-01T02:00+01:00;2020-02-01T03:00+01:00;2020-02-01;02:00;03:00;11;100,0;1;1;0;0;100,00;1;8;3;0;2;1;0;0
04211V1677432;Nye Ilsvikøra;FV715 S1D1 m20;2020-02-01T02:00+01:00;2020-02-01T03:00+01:00;2020-02-01;02:00;03:00;12;100,0;1;1;0;0;100,00;2;11;1;1;0;0;0;0
04211V1677432;Nye Ilsvikøra;FV715 S1D1 m20;2020-02-01T02:00+01:00;2020-02-01T03:00+01:00;2020-02-01;02:00;03:00;11;100,0;1;1;0;0;100,00;Totalt i retning Flakk;8;3;0;2;1;0;0
04211V1677432;Nye Ilsvikøra;FV715 S1D1 m20;2020-02-01T02:00+01:00;2020-02-01T03:00+01:00;2020-02-01;02:00;03:00;12;100,0;1;1;0;0;100,00;Totalt i retning Ila;11;1;1;0;0;0;0
04211V1677432;Nye Ilsvikøra;FV715 S1D1 m20;2020-02-01T02:00+01:00;2020-02-01T03:00+01:00;2020-02-01;02:00;03:00;23;100,0;1;1;0;0;100,00;Totalt;19;4;1;2;1;0;0
04211V1677432;Nye Ilsvikøra;FV715 S1D1 m20;2020-02-01T03:00+01:00;2020-02-01T04:00+01:00;2020-02-01;03:00;04:00;13;100,0;1;1;0;0;100,00;1;12;1;0;0;1;0;0
04211V1677432;Nye Ilsvikøra;FV715 S1D1 m20;2020-02-01T03:00+01:00;2020-02-01T04:00+01:00;2020-02-01;03:00;04:00;13;100,0;1;1;0;0;100,00;2;12;1;0;0;1;0;0
04211V1677432;Nye Ilsvikøra;FV715 S1D1 m20;2020-02-01T03:00+01:00;2020-02-01T04:00+01:00;2020-02-01;03:00;04:00;13;100,0;1;1;0;0;100,00;Totalt i retning Flakk;12;1;0;0;1;0;0
