Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Volum;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;16,0m - 24,0m;>= 24,0m
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-01T00:00+01:00;2020-02-01T01:00+01:00;2020-02-01;00:00;01:00;34;100,0;1;1;0;0;100,00;1;30;4;3;1;0;0;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-01T00:00+01:00;2020-02-01T01:00+01:00;2020-02-01;00:00;01:00;57;100,0;1;1;0;0;100,00;2;49;8;3;1;0;2;2
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-01T00:00+01:00;2020-02-01T01:00+01:00;2020-02-01;00:00;01:00;179;100,0;1;1;0;0;100,00;3;168;11;6;2;0;2;1
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-01T00:00+01:00;2020-02-01T01:00+01:00;2020-02-01;00:00;01:00;136;100,0;1;1;0;0;100,00;4;106;30;3;3;7;12;5
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-01T00:00+01:00;2020-02-01T01:00+01:00;2020-02-01;00:00;01:00;213;100,0;1;1;0;0;100,00;Totalt i retning Moholt;198;15;9;3;0;2;1
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-01T00:00+01:00;2020-02-01T01:00+01:00;2020-02-01;00:00;01:00;193;100,0;1;1;0;0;100,00;Totalt i retning Sluppen;155;38;6;4;7;14;7
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-01T00:00+01:00;2020-02-01T01:00+01:00;2020-02-01;00:00;01:00;406;100,0;1;1;0;0;100,00;Totalt;353;53;15;7;7;16;8
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-01T01:00+01:00;2020-02-01T02:00+01:00;2020-02-01;01:00;02:00;29;100,0;1;1;0;0;100,00;1;27;2;1;0;1;0;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-01T01:00+01:00;2020-02-01T02:00+01:00;2020-02-01;01:00;02:00;34;100,0;1;1;0;0;100,00;2;30;4;0;2;0;2;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-01T01:00+01:00;2020-02-01T02:00+01:00;2020-02-01;01:00;02:00;86;100,0;1;1;0;0;100,00;3;78;8;5;1;0;2;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-01T01:00+01:00;2020-02-01T02:00+01:00;2020-02-01;01:00;02:00;80;100,0;1;1;0;0;100,00;4;65;15;7;2;0;5;1
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-01T01:00+01:00;2020-02-01T02:00+01:00;2020-02-01;01:00;02:00;115;100,0;1;1;0;0;100,00;Totalt i retning Moholt;105;10;6;1;1;2;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-01T01:00+01:00;2020-02-01T02:00+01:00;2020-02-01;01:00;02:00;114;100,0;1;1;0;0;100,00;Totalt i retning Sluppen;95;19;7;4;0;7;1
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-01T01:00+01:00;2020-02-01T02:00+01:00;2020-02-01;01:00;02:00;229;100,0;1;1;0;0;100,00;Totalt;200;29;13;5;1;9;1
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-01T02:00+01:00;2020-02-01T03:00+01:00;2020-02-01;02:00;03:00;15;100,0;1;1;0;0;100,00;1;14;1;0;1;0;0;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-01T02:00+01:00;2020-02-01T03:00+01:00;2020-02-01;02:00;03:00;17;100,0;1;1;0;1;94,12;2;14;2;0;1;0;1;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-01T02:00+01:00;2020-02-01T03:00+01:00;2020-02-01;02:00;03:00;64;100,0;1;1;0;0;100,00;3;55;9;4;4;0;1;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-01T02:00+01:00;2020-02-01T03:00+01:00;2020-02-01;02:00;03:00;55;100,0;1;1;0;0;100,00;4;48;7;2;0;0;5;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-01T02:00+01:00;2020-02-01T03:00+01:00;2020-02-01;02:00;03:00;79;100,0;1;1;0;0;100,00;Totalt i retning Moholt;69;10;4;5;0;1;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-01T02:00+01:00;2020-02-01T03:00+01:00;2020-02-01;02:00;03:00;72;100,0;1;1;0;1;98,61;Totalt i retning Sluppen;62;9;2;1;0;6;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-01T02:00+01:00;2020-02-01T03:00+01:00;2020-02-01;02:00;03:00;151;100,0;1;1;0;1;99,34;Totalt;131;19;6;6;0;7;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-01T03:00+01:00;2020-02-01T04:00+01:00;2020-02-01;03:00;04:00;16;100,0;1;1;0;0;100,00;1;16;0;0;0;0;0;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-01T03:00+01:00;2020-02-01T04:00+01:00;2020-02-01;03:00;04:00;34;100,0;1;1;0;0;100,00;2;31;3;2;0;1;0;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-01T03:00+01:00;2020-02-01T04:00+01:00;2020-02-01;03:00;04:00;60;100,0;1;1;0;0;100,00;3;48;12;4;3;3;2;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-01T03:00+01:00;2020-02-01T04:00+01:00;2020-02-01;03:00;04:00;46;100,0;1;1;0;0;100,00;4;36;10;3;2;0;5;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-01T03:00+01:00;2020-02-01T04:00+01:00;2020-02-01;03:00;04:00;76;100,0;1;1;0;0;100,00;Totalt i retning Moholt;64;12;4;3;3;2;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-01T03:00+01:00;2020-02-01T04:00+01:00;2020-02-01;03:00;04:00;80;100,0;1;1;0;0;100,00;Totalt i retning Sluppen;67;13;5;2;1;5;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-01T03:00+01:00;2020-02-01T04:00+01:00;2020-02-01;03:00;04:00;156;100,0;1;1;0;0;100,00;Totalt;131;25;9;5;4;7;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-01T04:00+01:00;2020-02-01T05:00+01:00;2020-02-01;04:00;05:00;14;100,0;1;1;0;0;100,00;1;12;2;1;0;1;0;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-01T04:00+01:00;2020-02-01T05:00+01:00;2020-02-01;04:00;05:00;24;100,0;1;1;0;1;95,83;2;19;4;2;0;0;2;0
