Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Volum;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;16,0m - 24,0m;>= 24,0m
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2152;2020-02-01T00:00+01:00;2020-02-01T01:00+01:00;2020-02-01;00:00;01:00;-;0,0;1;1;0;-;-;1;-;-;-;-;-;-;-
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2152;2020-02-01T00:00+01:00;2020-02-01T01:00+01:00;2020-02-01;00:00;01:00;37;100,0;1;1;0;0;100,00;2;32;5;1;0;0;4;0
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2152;2020-02-01T00:00+01:00;2020-02-01T01:00+01:00;2020-02-01;00:00;01:00;-;0,0;1;1;0;-;-;Totalt i retning Bromstad;-;-;-;-;-;-;-
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2152;2020-02-01T00:00+01:00;2020-02-01T01:00+01:00;2020-02-01;00:00;01:00;37;100,0;1;1;0;0;100,00;Totalt i retning Moholt;32;5;1;0;0;4;0
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2152;2020-02-01T00:00+01:00;2020-02-01T01:00+01:00;2020-02-01;00:00;01:00;37;50,0;1;1;0;0;100,00;Totalt;32;5;1;0;0;4;0
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2152;2020-02-01T01:00+01:00;2020-02-01T02:00+01:00;2020-02-01;01:00;02:00;-;0,0;1;1;0;-;-;1;-;-;-;-;-;-;-
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2152;2020-02-01T01:00+01:00;2020-02-01T02:00+01:00;2020-02-01;01:00;02:00;20;100,0;1;1;0;0;100,00;2;16;4;0;1;0;3;0
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2152;2020-02-01T01:00+01:00;2020-02-01T02:00+01:00;2020-02-01;01:00;02:00;-;0,0;1;1;0;-;-;Totalt i retning Bromstad;-;-;-;-;-;-;-
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2152;2020-02-01T01:00+01:00;2020-02-01T02:00+01:00;2020-02-01;01:00;02:00;20;100,0;1;1;0;0;100,00;Totalt i retning Moholt;16;4;0;1;0;3;0
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2152;2020-02-01T01:00+01:00;2020-02-01T02:00+01:00;2020-02-01;01:00;02:00;20;50,0;1;1;0;0;100,00;Totalt;16;4;0;1;0;3;0
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2152;2020-02-01T02:00+01:00;2020-02-01T03:00+01:00;2020-02-01;02:00;03:00;-;0,0;1;1;0;-;-;1;-;-;-;-;-;-;-
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2152;2020-02-01T02:00+01:00;2020-02-01T03:00+01:00;2020-02-01;02:00;03:00;19;100,0;1;1;0;0;100,00;2;16;3;1;0;0;2;0
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2152;2020-02-01T02:00+01:00;2020-02-01T03:00+01:00;2020-02-01;02:00;03:00;-;0,0;1;1;0;-;-;Totalt i retning Bromstad;-;-;-;-;-;-;-
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2152;2020-02-01T02:00+01:00;2020-02-01T03:00+01:00;2020-02-01;02:00;03:00;19;100,0;1;1;0;0;100,00;Totalt i retning Moholt;16;3;1;0;0;2;0
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2152;2020-02-01T02:00+01:00;2020-02-01T03:00+01:00;2020-02-01;02:00;03:00;19;50,0;1;1;0;0;100,00;Totalt;16;3;1;0;0;2;0
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2152;2020-02-01T03:00+01:00;2020-02-01T04:00+01:00;2020-02-01;03:00;04:00;-;0,0;1;1;0;-;-;1;-;-;-;-;-;-;-
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2152;2020-02-01T03:00+01:00;2020-02-01T04:00+01:00;2020-02-01;03:00;04:00;17;100,0;1;1;0;0;100,00;2;13;4;0;1;0;3;0
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2152;2020-02-01T03:00+01:00;2020-02-01T04:00+01:00;2020-02-01;03:00;04:00;-;0,0;1;1;0;-;-;Totalt i retning Bromstad;-;-;-;-;-;-;-
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2152;2020-02-01T03:00+01:00;2020-02-01T04:00+01:00;2020-02-01;03:00;04:00;17;100,0;1;1;0;0;100,00;Totalt i retning Moholt;13;4;0;1;0;3;0
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2152;2020-02-01T03:00+01:00;2020-02-01T04:00+01:00;2020-02-01;03:00;04:00;17;50,0;1;1;0;0;100,00;Totalt;13;4;0;1;0;3;0
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2152;2020-02-01T04:00+01:00;2020-02-01T05:00+01:00;2020-02-01;04:00;05:00;-;0,0;1;1;0;-;-;1;-;-;-;-;-;-;-
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2152;2020-02-01T04:00+01:00;2020-02-01T05:00+01:00;2020-02-01;04:00;05:00;7;100,0;1;1;0;0;100,00;2;6;1;1;0;0;0;0
