Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Volum;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;16,0m - 24,0m;>= 24,0m
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;19;100,0;1;1;0;0;100,00;1;15;4;0;3;1;0;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;34;100,0;1;1;0;2;94,12;2;20;12;4;2;0;5;1
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;50;100,0;1;1;0;0;100,00;3;37;13;5;3;0;5;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;85;100,0;1;1;0;0;100,00;4;49;36;3;5;10;16;2
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;70;100,0;1;1;0;0;100,00;Totalt i retning Moholt;52;18;6;6;1;5;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;118;100,0;1;1;0;2;98,31;Totalt i retning Sluppen;69;47;6;7;10;21;3
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;188;100,0;1;1;0;2;98,94;Totalt;121;65;12;13;11;26;3
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;8;100,0;1;1;0;0;100,00;1;6;2;0;1;1;0;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;14;100,0;1;1;0;8;42,86;2;4;2;1;1;0;0;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;34;100,0;1;1;0;0;100,00;3;24;10;0;3;0;6;1
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;18;100,0;1;1;0;0;100,00;4;10;8;2;1;2;3;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;42;100,0;1;1;0;0;100,00;Totalt i retning Moholt;30;12;0;4;1;6;1
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;32;100,0;1;1;0;8;75,00;Totalt i retning Sluppen;14;10;3;2;2;3;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;74;100,0;1;1;0;8;89,19;Totalt;44;22;3;6;3;9;1
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;5;100,0;1;1;0;0;100,00;1;4;1;0;1;0;0;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;7;100,0;1;1;0;2;71,43;2;2;3;0;2;0;1;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;30;100,0;1;1;0;0;100,00;3;17;13;1;5;1;6;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;22;100,0;1;1;0;0;100,00;4;16;6;0;2;0;4;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;35;100,0;1;1;0;0;100,00;Totalt i retning Moholt;21;14;1;6;1;6;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;29;100,0;1;1;0;2;93,10;Totalt i retning Sluppen;18;9;0;4;0;5;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;64;100,0;1;1;0;2;96,88;Totalt;39;23;1;10;1;11;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;6;100,0;1;1;0;0;100,00;1;2;4;3;1;0;0;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;18;100,0;1;1;0;6;66,67;2;6;6;4;1;0;1;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;39;100,0;1;1;0;0;100,00;3;25;14;3;6;2;3;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;27;100,0;1;1;0;0;100,00;4;19;8;2;4;2;0;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;45;100,0;1;1;0;0;100,00;Totalt i retning Moholt;27;18;6;7;2;3;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;45;100,0;1;1;0;6;86,67;Totalt i retning Sluppen;25;14;6;5;2;1;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;90;100,0;1;1;0;6;93,33;Totalt;52;32;12;12;4;4;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T04:00+01:00;2020-02-25T05:00+01:00;2020-02-25;04:00;05:00;24;100,0;1;1;0;0;100,00;1;20;4;3;1;0;0;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T04:00+01:00;2020-02-25T05:00+01:00;2020-02-25;04:00;05:00;39;100,0;1;1;0;4;89,74;2;21;14;7;5;1;1;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T04:00+01:00;2020-02-25T05:00+01:00;2020-02-25;04:00;05:00;82;100,0;1;1;0;0;100,00;3;54;28;7;6;7;8;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T04:00+01:00;2020-02-25T05:00+01:00;2020-02-25;04:00;05:00;46;100,0;1;1;0;0;100,00;4;37;9;4;2;1;2;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T04:00+01:00;2020-02-25T05:00+01:00;2020-02-25;04:00;05:00;106;100,0;1;1;0;0;100,00;Totalt i retning Moholt;74;32;10;7;7;8;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T04:00+01:00;2020-02-25T05:00+01:00;2020-02-25;04:00;05:00;85;100,0;1;1;0;4;95,29;Totalt i retning Sluppen;58;23;11;7;2;3;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T04:00+01:00;2020-02-25T05:00+01:00;2020-02-25;04:00;05:00;191;100,0;1;1;0;4;97,91;Totalt;132;55;21;14;9;11;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T05:00+01:00;2020-02-25T06:00+01:00;2020-02-25;05:00;06:00;132;100,0;1;1;0;0;100,00;1;119;13;4;5;0;4;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T05:00+01:00;2020-02-25T06:00+01:00;2020-02-25;05:00;06:00;122;100,0;1;1;0;8;93,44;2;90;24;12;8;3;1;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T05:00+01:00;2020-02-25T06:00+01:00;2020-02-25;05:00;06:00;274;100,0;1;1;0;0;100,00;3;222;52;7;10;7;19;9
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T05:00+01:00;2020-02-25T06:00+01:00;2020-02-25;05:00;06:00;103;100,0;1;1;0;1;99,03;4;84;18;6;6;3;3;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T05:00+01:00;2020-02-25T06:00+01:00;2020-02-25;05:00;06:00;406;100,0;1;1;0;0;100,00;Totalt i retning Moholt;341;65;11;15;7;23;9
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T05:00+01:00;2020-02-25T06:00+01:00;2020-02-25;05:00;06:00;225;100,0;1;1;0;9;96,00;Totalt i retning Sluppen;174;42;18;14;6;4;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T05:00+01:00;2020-02-25T06:00+01:00;2020-02-25;05:00;06:00;631;100,0;1;1;0;9;98,57;Totalt;515;107;29;29;13;27;9
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T06:00+01:00;2020-02-25T07:00+01:00;2020-02-25;06:00;07:00;817;100,0;1;1;0;0;100,00;1;775;42;19;21;1;1;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T06:00+01:00;2020-02-25T07:00+01:00;2020-02-25;06:00;07:00;731;100,0;1;1;0;27;96,31;2;550;154;109;27;10;8;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T06:00+01:00;2020-02-25T07:00+01:00;2020-02-25;06:00;07:00;713;100,0;1;1;0;0;100,00;3;604;109;17;38;16;29;9
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T06:00+01:00;2020-02-25T07:00+01:00;2020-02-25;06:00;07:00;532;100,0;1;1;0;0;100,00;4;499;33;10;10;7;6;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T06:00+01:00;2020-02-25T07:00+01:00;2020-02-25;06:00;07:00;1530;100,0;1;1;0;0;100,00;Totalt i retning Moholt;1379;151;36;59;17;30;9
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T06:00+01:00;2020-02-25T07:00+01:00;2020-02-25;06:00;07:00;1263;100,0;1;1;0;27;97,86;Totalt i retning Sluppen;1049;187;119;37;17;14;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T06:00+01:00;2020-02-25T07:00+01:00;2020-02-25;06:00;07:00;2793;100,0;1;1;0;27;99,03;Totalt;2428;338;155;96;34;44;9
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T07:00+01:00;2020-02-25T08:00+01:00;2020-02-25;07:00;08:00;1353;100,0;1;1;0;0;100,00;1;1289;64;27;29;5;3;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T07:00+01:00;2020-02-25T08:00+01:00;2020-02-25;07:00;08:00;1245;100,0;1;1;0;3;99,76;2;1101;141;71;33;9;28;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T07:00+01:00;2020-02-25T08:00+01:00;2020-02-25;07:00;08:00;1090;100,0;1;1;0;0;100,00;3;922;168;41;63;17;43;4
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T07:00+01:00;2020-02-25T08:00+01:00;2020-02-25;07:00;08:00;1129;100,0;1;1;0;0;100,00;4;1073;56;23;25;4;4;0
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T07:00+01:00;2020-02-25T08:00+01:00;2020-02-25;07:00;08:00;2443;100,0;1;1;0;0;100,00;Totalt i retning Moholt;2211;232;68;92;22;46;4
20570V72811;Sundland;EV6 S76D1 m1539;2020-02-25T07:00+01:00;2020-02-25T08:00+01:00;2020-02-25;07:00;08:00;2374;100,0;1;1;0;3;99,87;Totalt i retning Sluppen;2174;197;94;58;13;32;0
