Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Volum;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;16,0m - 24,0m;>= 24,0m
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2152;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;-;0,0;1;1;0;-;-;1;-;-;-;-;-;-;-
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2152;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;17;100,0;1;1;0;0;100,00;2;12;5;0;0;0;5;0
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2152;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;-;0,0;1;1;0;-;-;Totalt i retning Bromstad;-;-;-;-;-;-;-
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2152;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;17;100,0;1;1;0;0;100,00;Totalt i retning Moholt;12;5;0;0;0;5;0
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2152;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;17;50,0;1;1;0;0;100,00;Totalt;12;5;0;0;0;5;0
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2152;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;-;0,0;1;1;0;-;-;1;-;-;-;-;-;-;-
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2152;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;9;100,0;1;1;0;0;100,00;2;9;0;0;0;0;0;0
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2152;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;-;0,0;1;1;0;-;-;Totalt i retning Bromstad;-;-;-;-;-;-;-
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2152;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;9;100,0;1;1;0;0;100,00;Totalt i retning Moholt;9;0;0;0;0;0;0
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2152;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;9;50,0;1;1;0;0;100,00;Totalt;9;0;0;0;0;0;0
