Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Volum;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;16,0m - 24,0m;>= 24,0m
06970V72811;KROPPAN BRU;EV6 S75D1 m2632;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;2;100,0;1;1;0;0;100,00;1;1;1;0;0;1;0;0
06970V72811;KROPPAN BRU;EV6 S75D1 m2632;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;5;100,0;1;1;0;0;100,00;2;5;0;0;0;0;0;0
06970V72811;KROPPAN BRU;EV6 S75D1 m2632;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;52;100,0;1;1;0;0;100,00;3;28;24;2;5;9;6;2
06970V72811;KROPPAN BRU;EV6 S75D1 m2632;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;79;100,0;1;1;0;0;100,00;4;58;21;3;10;1;7;0
06970V72811;KROPPAN BRU;EV6 S75D1 m2632;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;54;100,0;1;1;0;0;100,00;5;33;21;3;10;0;8;0
06970V72811;KROPPAN BRU;EV6 S75D1 m2632;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;50;100,0;1;1;0;1;98,00;6;35;14;0;2;0;5;7
06970V72811;KROPPAN BRU;EV6 S75D1 m2632;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;134;100,0;1;1;0;1;99,25;Totalt i retning HEIMDAL;98;35;3;12;1;12;7
06970V72811;KROPPAN BRU;EV6 S75D1 m2632;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;108;100,0;1;1;0;0;100,00;Totalt i retning TRONDHEIM;62;46;5;15;10;14;2
06970V72811;KROPPAN BRU;EV6 S75D1 m2632;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;242;100,0;1;1;0;1;99,59;Totalt;160;81;8;27;11;26;9
06970V72811;KROPPAN BRU;EV6 S75D1 m2632;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;2;100,0;1;1;0;0;100,00;1;1;1;0;0;1;0;0
06970V72811;KROPPAN BRU;EV6 S75D1 m2632;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;1;100,0;1;1;0;0;100,00;2;1;0;0;0;0;0;0
06970V72811;KROPPAN BRU;EV6 S75D1 m2632;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;22;100,0;1;1;0;0;100,00;3;16;6;1;0;5;0;0
06970V72811;KROPPAN BRU;EV6 S75D1 m2632;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;34;100,0;1;1;0;0;100,00;4;19;15;3;10;1;1;0
06970V72811;KROPPAN BRU;EV6 S75D1 m2632;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;39;100,0;1;1;0;0;100,00;5;21;18;1;8;0;8;1
06970V72811;KROPPAN BRU;EV6 S75D1 m2632;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;14;100,0;1;1;0;0;100,00;6;12;2;0;0;2;0;0
06970V72811;KROPPAN BRU;EV6 S75D1 m2632;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;49;100,0;1;1;0;0;100,00;Totalt i retning HEIMDAL;32;17;3;10;3;1;0
06970V72811;KROPPAN BRU;EV6 S75D1 m2632;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;63;100,0;1;1;0;0;100,00;Totalt i retning TRONDHEIM;38;25;2;8;6;8;1
06970V72811;KROPPAN BRU;EV6 S75D1 m2632;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;112;100,0;1;1;0;0;100,00;Totalt;70;42;5;18;9;9;1
06970V72811;KROPPAN BRU;EV6 S75D1 m2632;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;1;100,0;1;1;0;0;100,00;1;1;0;0;0;0;0;0
06970V72811;KROPPAN BRU;EV6 S75D1 m2632;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;0;100,0;1;1;0;0;100,00;2;0;0;0;0;0;0;0
06970V72811;KROPPAN BRU;EV6 S75D1 m2632;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;8;100,0;1;1;0;0;100,00;3;5;3;1;1;1;0;0
06970V72811;KROPPAN BRU;EV6 S75D1 m2632;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;31;100,0;1;1;0;0;100,00;4;17;14;0;5;8;1;0
06970V72811;KROPPAN BRU;EV6 S75D1 m2632;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;29;100,0;1;1;0;0;100,00;5;14;15;0;8;2;5;0
06970V72811;KROPPAN BRU;EV6 S75D1 m2632;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;11;100,0;1;1;0;0;100,00;6;8;3;1;2;0;0;0
06970V72811;KROPPAN BRU;EV6 S75D1 m2632;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;42;100,0;1;1;0;0;100,00;Totalt i retning HEIMDAL;25;17;1;7;8;1;0
06970V72811;KROPPAN BRU;EV6 S75D1 m2632;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;38;100,0;1;1;0;0;100,00;Totalt i retning TRONDHEIM;20;18;1;9;3;5;0
06970V72811;KROPPAN BRU;EV6 S75D1 m2632;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;80;100,0;1;1;0;0;100,00;Totalt;45;35;2;16;11;6;0
06970V72811;KROPPAN BRU;EV6 S75D1 m2632;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;0;100,0;1;1;0;0;100,00;1;0;0;0;0;0;0;0
06970V72811;KROPPAN BRU;EV6 S75D1 m2632;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;4;100,0;1;1;0;0;100,00;2;4;0;0;0;0;0;0
06970V72811;KROPPAN BRU;EV6 S75D1 m2632;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;15;100,0;1;1;0;0;100,00;3;14;1;0;1;0;0;0
06970V72811;KROPPAN BRU;EV6 S75D1 m2632;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;36;100,0;1;1;0;2;94,44;4;25;9;2;6;1;0;0
06970V72811;KROPPAN BRU;EV6 S75D1 m2632;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;37;100,0;1;1;0;0;100,00;5;21;16;6;8;0;2;0
06970V72811;KROPPAN BRU;EV6 S75D1 m2632;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;14;100,0;1;1;0;0;100,00;6;10;4;1;0;2;1;0
06970V72811;KROPPAN BRU;EV6 S75D1 m2632;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;54;100,0;1;1;0;2;96,30;Totalt i retning HEIMDAL;39;13;3;6;3;1;0
06970V72811;KROPPAN BRU;EV6 S75D1 m2632;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;52;100,0;1;1;0;0;100,00;Totalt i retning TRONDHEIM;35;17;6;9;0;2;0
06970V72811;KROPPAN BRU;EV6 S75D1 m2632;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;106;100,0;1;1;0;2;98,11;Totalt;74;30;9;15;3;3;0
06970V72811;KROPPAN BRU;EV6 S75D1 m2632;2020-02-25T04:00+01:00;2020-02-25T05:00+01:00;2020-02-25;04:00;05:00;1;100,0;1;1;0;0;100,00;1;0;1;0;1;0;0;0
06970V72811;KROPPAN BRU;EV6 S75D1 m2632;2020-02-25T04:00+01:00;2020-02-25T05:00+01:00;2020-02-25;04:00;05:00;7;100,0;1;1;0;0;100,00;2;7;0;0;0;0;0;0
06970V72811;KROPPAN BRU;EV6 S75D1 m2632;2020-02-25T04:00+01:00;2020-02-25T05:00+01:00;2020-02-25;04:00;05:00;33;100,0;1;1;0;0;100,00;3;25;8;5;0;3;0;0
