Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Volum;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;16,0m - 24,0m;>= 24,0m
17961V72812;Holtermanns veg nord for Bratsbergvegen;FV6690 S3D1 m2888;2020-02-01T00:00+01:00;2020-02-01T01:00+01:00;2020-02-01;00:00;01:00;27;100,0;1;1;0;7;74,07;1;14;6;1;0;0;5;0
17961V72812;Holtermanns veg nord for Bratsbergvegen;FV6690 S3D1 m2888;2020-02-01T00:00+01:00;2020-02-01T01:00+01:00;2020-02-01;00:00;01:00;82;100,0;1;1;0;22;73,17;2;58;2;2;0;0;0;0
17961V72812;Holtermanns veg nord for Bratsbergvegen;FV6690 S3D1 m2888;2020-02-01T00:00+01:00;2020-02-01T01:00+01:00;2020-02-01;00:00;01:00;59;100,0;1;1;0;13;77,97;3;46;0;0;0;0;0;0
17961V72812;Holtermanns veg nord for Bratsbergvegen;FV6690 S3D1 m2888;2020-02-01T00:00+01:00;2020-02-01T01:00+01:00;2020-02-01;00:00;01:00;54;100,0;1;1;0;9;83,33;4;36;9;2;1;2;4;0
17961V72812;Holtermanns veg nord for Bratsbergvegen;FV6690 S3D1 m2888;2020-02-01T00:00+01:00;2020-02-01T01:00+01:00;2020-02-01;00:00;01:00;50;100,0;1;1;0;12;76,00;5;28;10;1;3;1;2;3
17961V72812;Holtermanns veg nord for Bratsbergvegen;FV6690 S3D1 m2888;2020-02-01T00:00+01:00;2020-02-01T01:00+01:00;2020-02-01;00:00;01:00;6;100,0;1;1;0;2;66,67;6;2;2;0;1;0;1;0
17961V72812;Holtermanns veg nord for Bratsbergvegen;FV6690 S3D1 m2888;2020-02-01T00:00+01:00;2020-02-01T01:00+01:00;2020-02-01;00:00;01:00;136;100,0;1;1;0;32;76,47;Totalt i retning Heimdal;88;16;2;3;1;7;3
17961V72812;Holtermanns veg nord for Bratsbergvegen;FV6690 S3D1 m2888;2020-02-01T00:00+01:00;2020-02-01T01:00+01:00;2020-02-01;00:00;01:00;142;100,0;1;1;0;33;76,76;Totalt i retning Sentrum;96;13;4;2;2;5;0
17961V72812;Holtermanns veg nord for Bratsbergvegen;FV6690 S3D1 m2888;2020-02-01T00:00+01:00;2020-02-01T01:00+01:00;2020-02-01;00:00;01:00;278;100,0;1;1;0;65;76,62;Totalt;184;29;6;5;3;12;3
17961V72812;Holtermanns veg nord for Bratsbergvegen;FV6690 S3D1 m2888;2020-02-01T01:00+01:00;2020-02-01T02:00+01:00;2020-02-01;01:00;02:00;25;100,0;1;1;0;8;68,00;1;17;0;0;0;0;0;0
17961V72812;Holtermanns veg nord for Bratsbergvegen;FV6690 S3D1 m2888;2020-02-01T01:00+01:00;2020-02-01T02:00+01:00;2020-02-01;01:00;02:00;67;100,0;1;1;0;19;71,64;2;48;0;0;0;0;0;0
17961V72812;Holtermanns veg nord for Bratsbergvegen;FV6690 S3D1 m2888;2020-02-01T01:00+01:00;2020-02-01T02:00+01:00;2020-02-01;01:00;02:00;62;100,0;1;1;0;18;70,97;3;43;1;1;0;0;0;0
17961V72812;Holtermanns veg nord for Bratsbergvegen;FV6690 S3D1 m2888;2020-02-01T01:00+01:00;2020-02-01T02:00+01:00;2020-02-01;01:00;02:00;51;100,0;1;1;0;16;68,63;4;25;10;0;1;1;8;0
17961V72812;Holtermanns veg nord for Bratsbergvegen;FV6690 S3D1 m2888;2020-02-01T01:00+01:00;2020-02-01T02:00+01:00;2020-02-01;01:00;02:00;52;100,0;1;1;0;22;57,69;5;23;7;1;0;2;4;0
17961V72812;Holtermanns veg nord for Bratsbergvegen;FV6690 S3D1 m2888;2020-02-01T01:00+01:00;2020-02-01T02:00+01:00;2020-02-01;01:00;02:00;6;100,0;1;1;0;3;50,00;6;3;0;0;0;0;0;0
17961V72812;Holtermanns veg nord for Bratsbergvegen;FV6690 S3D1 m2888;2020-02-01T01:00+01:00;2020-02-01T02:00+01:00;2020-02-01;01:00;02:00;139;100,0;1;1;0;48;65,47;Totalt i retning Heimdal;83;8;2;0;2;4;0
17961V72812;Holtermanns veg nord for Bratsbergvegen;FV6690 S3D1 m2888;2020-02-01T01:00+01:00;2020-02-01T02:00+01:00;2020-02-01;01:00;02:00;124;100,0;1;1;0;38;69,35;Totalt i retning Sentrum;76;10;0;1;1;8;0
17961V72812;Holtermanns veg nord for Bratsbergvegen;FV6690 S3D1 m2888;2020-02-01T01:00+01:00;2020-02-01T02:00+01:00;2020-02-01;01:00;02:00;263;100,0;1;1;0;86;67,30;Totalt;159;18;2;1;3;12;0
17961V72812;Holtermanns veg nord for Bratsbergvegen;FV6690 S3D1 m2888;2020-02-01T02:00+01:00;2020-02-01T03:00+01:00;2020-02-01;02:00;03:00;24;100,0;1;1;0;15;37,50;1;7;2;0;1;0;1;0
17961V72812;Holtermanns veg nord for Bratsbergvegen;FV6690 S3D1 m2888;2020-02-01T02:00+01:00;2020-02-01T03:00+01:00;2020-02-01;02:00;03:00;55;100,0;1;1;0;14;74,55;2;41;0;0;0;0;0;0
17961V72812;Holtermanns veg nord for Bratsbergvegen;FV6690 S3D1 m2888;2020-02-01T02:00+01:00;2020-02-01T03:00+01:00;2020-02-01;02:00;03:00;50;100,0;1;1;0;14;72,00;3;34;2;2;0;0;0;0
17961V72812;Holtermanns veg nord for Bratsbergvegen;FV6690 S3D1 m2888;2020-02-01T02:00+01:00;2020-02-01T03:00+01:00;2020-02-01;02:00;03:00;55;100,0;1;1;0;11;80,00;4;31;13;1;0;1;11;0
17961V72812;Holtermanns veg nord for Bratsbergvegen;FV6690 S3D1 m2888;2020-02-01T02:00+01:00;2020-02-01T03:00+01:00;2020-02-01;02:00;03:00;50;100,0;1;1;0;8;84,00;5;37;5;1;0;0;4;0
17961V72812;Holtermanns veg nord for Bratsbergvegen;FV6690 S3D1 m2888;2020-02-01T02:00+01:00;2020-02-01T03:00+01:00;2020-02-01;02:00;03:00;6;100,0;1;1;0;1;83,33;6;4;1;0;0;1;0;0
17961V72812;Holtermanns veg nord for Bratsbergvegen;FV6690 S3D1 m2888;2020-02-01T02:00+01:00;2020-02-01T03:00+01:00;2020-02-01;02:00;03:00;124;100,0;1;1;0;37;70,16;Totalt i retning Heimdal;78;9;3;1;0;5;0
17961V72812;Holtermanns veg nord for Bratsbergvegen;FV6690 S3D1 m2888;2020-02-01T02:00+01:00;2020-02-01T03:00+01:00;2020-02-01;02:00;03:00;116;100,0;1;1;0;26;77,59;Totalt i retning Sentrum;76;14;1;0;2;11;0
17961V72812;Holtermanns veg nord for Bratsbergvegen;FV6690 S3D1 m2888;2020-02-01T02:00+01:00;2020-02-01T03:00+01:00;2020-02-01;02:00;03:00;240;100,0;1;1;0;63;73,75;Totalt;154;23;4;1;2;16;0
17961V72812;Holtermanns veg nord for Bratsbergvegen;FV6690 S3D1 m2888;2020-02-01T03:00+01:00;2020-02-01T04:00+01:00;2020-02-01;03:00;04:00;18;100,0;1;1;0;7;61,11;1;10;1;1;0;0;0;0
17961V72812;Holtermanns veg nord for Bratsbergvegen;FV6690 S3D1 m2888;2020-02-01T03:00+01:00;2020-02-01T04:00+01:00;2020-02-01;03:00;04:00;25;100,0;1;1;0;6;76,00;2;18;1;0;1;0;0;0
17961V72812;Holtermanns veg nord for Bratsbergvegen;FV6690 S3D1 m2888;2020-02-01T03:00+01:00;2020-02-01T04:00+01:00;2020-02-01;03:00;04:00;34;100,0;1;1;0;15;55,88;3;19;0;0;0;0;0;0
17961V72812;Holtermanns veg nord for Bratsbergvegen;FV6690 S3D1 m2888;2020-02-01T03:00+01:00;2020-02-01T04:00+01:00;2020-02-01;03:00;04:00;35;100,0;1;1;0;7;80,00;4;25;3;2;1;0;0;0
17961V72812;Holtermanns veg nord for Bratsbergvegen;FV6690 S3D1 m2888;2020-02-01T03:00+01:00;2020-02-01T04:00+01:00;2020-02-01;03:00;04:00;43;100,0;1;1;0;13;69,77;5;26;4;0;1;1;2;0
17961V72812;Holtermanns veg nord for Bratsbergvegen;FV6690 S3D1 m2888;2020-02-01T03:00+01:00;2020-02-01T04:00+01:00;2020-02-01;03:00;04:00;2;100,0;1;1;0;0;100,00;6;2;0;0;0;0;0;0
17961V72812;Holtermanns veg nord for Bratsbergvegen;FV6690 S3D1 m2888;2020-02-01T03:00+01:00;2020-02-01T04:00+01:00;2020-02-01;03:00;04:00;95;100,0;1;1;0;35;63,16;Totalt i retning Heimdal;55;5;1;1;1;2;0
17961V72812;Holtermanns veg nord for Bratsbergvegen;FV6690 S3D1 m2888;2020-02-01T03:00+01:00;2020-02-01T04:00+01:00;2020-02-01;03:00;04:00;62;100,0;1;1;0;13;79,03;Totalt i retning Sentrum;45;4;2;2;0;0;0
17961V72812;Holtermanns veg nord for Bratsbergvegen;FV6690 S3D1 m2888;2020-02-01T03:00+01:00;2020-02-01T04:00+01:00;2020-02-01;03:00;04:00;157;100,0;1;1;0;48;69,43;Totalt;100;9;3;3;1;2;0
17961V72812;Holtermanns veg nord for Bratsbergvegen;FV6690 S3D1 m2888;2020-02-01T04:00+01:00;2020-02-01T05:00+01:00;2020-02-01;04:00;05:00;7;100,0;1;1;0;2;71,43;1;5;0;0;0;0;0;0
17961V72812;Holtermanns veg nord for Bratsbergvegen;FV6690 S3D1 m2888;2020-02-01T04:00+01:00;2020-02-01T05:00+01:00;2020-02-01;04:00;05:00;13;100,0;1;1;0;6;53,85;2;6;1;1;0;0;0;0
