Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Volum;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;16,0m - 24,0m;>= 24,0m
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T00:00+01:00;2020-02-01T01:00+01:00;2020-02-01;00:00;01:00;17;100,0;1;1;0;0;100,00;1;15;2;2;0;0;0;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T00:00+01:00;2020-02-01T01:00+01:00;2020-02-01;00:00;01:00;34;100,0;1;1;0;0;100,00;2;31;3;0;1;0;1;1
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T00:00+01:00;2020-02-01T01:00+01:00;2020-02-01;00:00;01:00;197;100,0;1;1;0;0;100,00;3;188;9;3;3;0;2;1
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T00:00+01:00;2020-02-01T01:00+01:00;2020-02-01;00:00;01:00;-;0,0;1;1;0;-;-;4;-;-;-;-;-;-;-
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T00:00+01:00;2020-02-01T01:00+01:00;2020-02-01;00:00;01:00;219;100,0;1;1;0;4;98,17;Totalt i retning MOHOLT;204;11;5;3;0;2;1
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T00:00+01:00;2020-02-01T01:00+01:00;2020-02-01;00:00;01:00;82;50,0;1;1;0;45;45,12;Totalt i retning SLUPPEN;33;4;0;2;0;1;1
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T00:00+01:00;2020-02-01T01:00+01:00;2020-02-01;00:00;01:00;301;75,0;1;1;0;49;83,72;Totalt;237;15;5;5;0;3;2
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T01:00+01:00;2020-02-01T02:00+01:00;2020-02-01;01:00;02:00;8;100,0;1;1;0;0;100,00;1;8;0;0;0;0;0;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T01:00+01:00;2020-02-01T02:00+01:00;2020-02-01;01:00;02:00;13;100,0;1;1;0;0;100,00;2;12;1;0;1;0;0;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T01:00+01:00;2020-02-01T02:00+01:00;2020-02-01;01:00;02:00;114;100,0;1;1;0;0;100,00;3;104;10;5;2;0;3;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T01:00+01:00;2020-02-01T02:00+01:00;2020-02-01;01:00;02:00;-;0,0;1;1;0;-;-;4;-;-;-;-;-;-;-
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T01:00+01:00;2020-02-01T02:00+01:00;2020-02-01;01:00;02:00;123;100,0;1;1;0;1;99,19;Totalt i retning MOHOLT;112;10;5;2;0;3;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T01:00+01:00;2020-02-01T02:00+01:00;2020-02-01;01:00;02:00;25;50,0;1;1;0;12;52,00;Totalt i retning SLUPPEN;12;1;0;1;0;0;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T01:00+01:00;2020-02-01T02:00+01:00;2020-02-01;01:00;02:00;148;75,0;1;1;0;13;91,22;Totalt;124;11;5;3;0;3;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T02:00+01:00;2020-02-01T03:00+01:00;2020-02-01;02:00;03:00;9;100,0;1;1;0;0;100,00;1;9;0;0;0;0;0;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T02:00+01:00;2020-02-01T03:00+01:00;2020-02-01;02:00;03:00;10;100,0;1;1;0;0;100,00;2;9;1;0;1;0;0;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T02:00+01:00;2020-02-01T03:00+01:00;2020-02-01;02:00;03:00;69;100,0;1;1;0;0;100,00;3;59;10;5;4;0;1;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T02:00+01:00;2020-02-01T03:00+01:00;2020-02-01;02:00;03:00;-;0,0;1;1;0;-;-;4;-;-;-;-;-;-;-
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T02:00+01:00;2020-02-01T03:00+01:00;2020-02-01;02:00;03:00;78;100,0;1;1;0;0;100,00;Totalt i retning MOHOLT;68;10;5;4;0;1;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T02:00+01:00;2020-02-01T03:00+01:00;2020-02-01;02:00;03:00;13;50,0;1;1;0;3;76,92;Totalt i retning SLUPPEN;9;1;0;1;0;0;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T02:00+01:00;2020-02-01T03:00+01:00;2020-02-01;02:00;03:00;91;75,0;1;1;0;3;96,70;Totalt;77;11;5;5;0;1;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T03:00+01:00;2020-02-01T04:00+01:00;2020-02-01;03:00;04:00;5;100,0;1;1;0;0;100,00;1;5;0;0;0;0;0;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T03:00+01:00;2020-02-01T04:00+01:00;2020-02-01;03:00;04:00;19;100,0;1;1;0;0;100,00;2;17;2;1;0;1;0;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T03:00+01:00;2020-02-01T04:00+01:00;2020-02-01;03:00;04:00;76;100,0;1;1;0;0;100,00;3;64;12;5;2;3;2;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T03:00+01:00;2020-02-01T04:00+01:00;2020-02-01;03:00;04:00;-;0,0;1;1;0;-;-;4;-;-;-;-;-;-;-
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T03:00+01:00;2020-02-01T04:00+01:00;2020-02-01;03:00;04:00;81;100,0;1;1;0;0;100,00;Totalt i retning MOHOLT;69;12;5;2;3;2;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T03:00+01:00;2020-02-01T04:00+01:00;2020-02-01;03:00;04:00;19;50,0;1;1;0;0;100,00;Totalt i retning SLUPPEN;17;2;1;0;1;0;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T03:00+01:00;2020-02-01T04:00+01:00;2020-02-01;03:00;04:00;100;75,0;1;1;0;0;100,00;Totalt;86;14;6;2;4;2;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T04:00+01:00;2020-02-01T05:00+01:00;2020-02-01;04:00;05:00;7;100,0;1;1;0;0;100,00;1;7;0;0;0;0;0;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T04:00+01:00;2020-02-01T05:00+01:00;2020-02-01;04:00;05:00;10;100,0;1;1;0;1;90,00;2;7;2;0;1;0;1;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T04:00+01:00;2020-02-01T05:00+01:00;2020-02-01;04:00;05:00;68;100,0;1;1;0;0;100,00;3;51;17;6;1;4;6;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T04:00+01:00;2020-02-01T05:00+01:00;2020-02-01;04:00;05:00;-;0,0;1;1;0;-;-;4;-;-;-;-;-;-;-
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T04:00+01:00;2020-02-01T05:00+01:00;2020-02-01;04:00;05:00;75;100,0;1;1;0;0;100,00;Totalt i retning MOHOLT;58;17;6;1;4;6;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T04:00+01:00;2020-02-01T05:00+01:00;2020-02-01;04:00;05:00;16;50,0;1;1;0;6;62,50;Totalt i retning SLUPPEN;8;2;0;1;0;1;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T04:00+01:00;2020-02-01T05:00+01:00;2020-02-01;04:00;05:00;91;75,0;1;1;0;6;93,41;Totalt;66;19;6;2;4;7;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T05:00+01:00;2020-02-01T06:00+01:00;2020-02-01;05:00;06:00;9;100,0;1;1;0;0;100,00;1;9;0;0;0;0;0;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T05:00+01:00;2020-02-01T06:00+01:00;2020-02-01;05:00;06:00;13;100,0;1;1;0;1;92,31;2;11;1;0;1;0;0;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T05:00+01:00;2020-02-01T06:00+01:00;2020-02-01;05:00;06:00;96;100,0;1;1;0;0;100,00;3;69;27;1;5;7;10;4
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T05:00+01:00;2020-02-01T06:00+01:00;2020-02-01;05:00;06:00;-;0,0;1;1;0;-;-;4;-;-;-;-;-;-;-
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T05:00+01:00;2020-02-01T06:00+01:00;2020-02-01;05:00;06:00;105;100,0;1;1;0;0;100,00;Totalt i retning MOHOLT;78;27;1;5;7;10;4
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T05:00+01:00;2020-02-01T06:00+01:00;2020-02-01;05:00;06:00;22;50,0;1;1;0;10;54,55;Totalt i retning SLUPPEN;11;1;0;1;0;0;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T05:00+01:00;2020-02-01T06:00+01:00;2020-02-01;05:00;06:00;127;75,0;1;1;0;10;92,13;Totalt;89;28;1;6;7;10;4
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T06:00+01:00;2020-02-01T07:00+01:00;2020-02-01;06:00;07:00;25;100,0;1;1;0;0;100,00;1;24;1;0;0;0;1;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T06:00+01:00;2020-02-01T07:00+01:00;2020-02-01;06:00;07:00;34;100,0;1;1;0;0;100,00;2;31;3;1;2;0;0;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T06:00+01:00;2020-02-01T07:00+01:00;2020-02-01;06:00;07:00;146;100,0;1;1;0;0;100,00;3;119;27;3;3;8;9;4
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T06:00+01:00;2020-02-01T07:00+01:00;2020-02-01;06:00;07:00;-;0,0;1;1;0;-;-;4;-;-;-;-;-;-;-
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T06:00+01:00;2020-02-01T07:00+01:00;2020-02-01;06:00;07:00;182;100,0;1;1;0;7;96,15;Totalt i retning MOHOLT;147;28;3;3;8;10;4
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T06:00+01:00;2020-02-01T07:00+01:00;2020-02-01;06:00;07:00;88;50,0;1;1;0;50;43,18;Totalt i retning SLUPPEN;32;6;1;5;0;0;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T06:00+01:00;2020-02-01T07:00+01:00;2020-02-01;06:00;07:00;270;75,0;1;1;0;57;78,89;Totalt;179;34;4;8;8;10;4
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T07:00+01:00;2020-02-01T08:00+01:00;2020-02-01;07:00;08:00;44;100,0;1;1;0;0;100,00;1;42;2;1;1;0;0;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T07:00+01:00;2020-02-01T08:00+01:00;2020-02-01;07:00;08:00;55;100,0;1;1;0;0;100,00;2;49;6;2;2;0;2;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T07:00+01:00;2020-02-01T08:00+01:00;2020-02-01;07:00;08:00;235;100,0;1;1;0;0;100,00;3;217;18;3;6;3;5;1
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T07:00+01:00;2020-02-01T08:00+01:00;2020-02-01;07:00;08:00;-;0,0;1;1;0;-;-;4;-;-;-;-;-;-;-
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T07:00+01:00;2020-02-01T08:00+01:00;2020-02-01;07:00;08:00;289;100,0;1;1;0;9;96,89;Totalt i retning MOHOLT;260;20;4;7;3;5;1
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T07:00+01:00;2020-02-01T08:00+01:00;2020-02-01;07:00;08:00;175;50,0;1;1;0;97;44,57;Totalt i retning SLUPPEN;58;20;8;5;2;4;1
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T07:00+01:00;2020-02-01T08:00+01:00;2020-02-01;07:00;08:00;464;75,0;1;1;0;106;77,16;Totalt;318;40;12;12;5;9;2
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T08:00+01:00;2020-02-01T09:00+01:00;2020-02-01;08:00;09:00;86;100,0;1;1;0;0;100,00;1;80;6;3;2;1;0;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T08:00+01:00;2020-02-01T09:00+01:00;2020-02-01;08:00;09:00;102;100,0;1;1;0;0;100,00;2;94;8;4;1;0;3;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T08:00+01:00;2020-02-01T09:00+01:00;2020-02-01;08:00;09:00;315;100,0;1;1;0;0;100,00;3;273;42;9;8;12;8;5
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T08:00+01:00;2020-02-01T09:00+01:00;2020-02-01;08:00;09:00;-;0,0;1;1;0;-;-;4;-;-;-;-;-;-;-
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T08:00+01:00;2020-02-01T09:00+01:00;2020-02-01;08:00;09:00;402;100,0;1;1;0;0;100,00;Totalt i retning MOHOLT;354;48;12;10;13;8;5
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T08:00+01:00;2020-02-01T09:00+01:00;2020-02-01;08:00;09:00;124;50,0;1;1;0;20;83,87;Totalt i retning SLUPPEN;96;8;4;1;0;3;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T08:00+01:00;2020-02-01T09:00+01:00;2020-02-01;08:00;09:00;526;75,0;1;1;0;20;96,20;Totalt;450;56;16;11;13;11;5
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T09:00+01:00;2020-02-01T10:00+01:00;2020-02-01;09:00;10:00;153;100,0;1;1;0;0;100,00;1;149;4;0;4;0;0;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T09:00+01:00;2020-02-01T10:00+01:00;2020-02-01;09:00;10:00;159;100,0;1;1;0;1;99,37;2;146;12;4;7;0;1;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T09:00+01:00;2020-02-01T10:00+01:00;2020-02-01;09:00;10:00;519;100,0;1;1;0;0;100,00;3;485;34;11;9;6;7;1
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T09:00+01:00;2020-02-01T10:00+01:00;2020-02-01;09:00;10:00;-;0,0;1;1;0;-;-;4;-;-;-;-;-;-;-
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T09:00+01:00;2020-02-01T10:00+01:00;2020-02-01;09:00;10:00;672;100,0;1;1;0;0;100,00;Totalt i retning MOHOLT;634;38;11;13;6;7;1
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T09:00+01:00;2020-02-01T10:00+01:00;2020-02-01;09:00;10:00;163;50,0;1;1;0;5;96,93;Totalt i retning SLUPPEN;146;12;4;7;0;1;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T09:00+01:00;2020-02-01T10:00+01:00;2020-02-01;09:00;10:00;835;75,0;1;1;0;5;99,40;Totalt;780;50;15;20;6;8;1
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T10:00+01:00;2020-02-01T11:00+01:00;2020-02-01;10:00;11:00;260;100,0;1;1;0;0;100,00;1;246;14;4;9;0;1;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T10:00+01:00;2020-02-01T11:00+01:00;2020-02-01;10:00;11:00;252;100,0;1;1;0;0;100,00;2;242;10;4;4;1;1;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T10:00+01:00;2020-02-01T11:00+01:00;2020-02-01;10:00;11:00;739;100,0;1;1;0;0;100,00;3;682;57;10;28;6;13;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T10:00+01:00;2020-02-01T11:00+01:00;2020-02-01;10:00;11:00;-;0,0;1;1;0;-;-;4;-;-;-;-;-;-;-
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T10:00+01:00;2020-02-01T11:00+01:00;2020-02-01;10:00;11:00;999;100,0;1;1;0;0;100,00;Totalt i retning MOHOLT;928;71;14;37;6;14;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T10:00+01:00;2020-02-01T11:00+01:00;2020-02-01;10:00;11:00;263;50,0;1;1;0;10;96,20;Totalt i retning SLUPPEN;243;10;4;4;1;1;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T10:00+01:00;2020-02-01T11:00+01:00;2020-02-01;10:00;11:00;1262;75,0;1;1;0;10;99,21;Totalt;1171;81;18;41;7;15;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T11:00+01:00;2020-02-01T12:00+01:00;2020-02-01;11:00;12:00;356;100,0;1;1;0;0;100,00;1;334;22;9;10;0;3;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T11:00+01:00;2020-02-01T12:00+01:00;2020-02-01;11:00;12:00;377;100,0;1;1;0;0;100,00;2;362;15;1;12;0;2;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T11:00+01:00;2020-02-01T12:00+01:00;2020-02-01;11:00;12:00;946;100,0;1;1;0;0;100,00;3;903;43;7;21;5;9;1
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T11:00+01:00;2020-02-01T12:00+01:00;2020-02-01;11:00;12:00;-;0,0;1;1;0;-;-;4;-;-;-;-;-;-;-
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T11:00+01:00;2020-02-01T12:00+01:00;2020-02-01;11:00;12:00;1302;100,0;1;1;0;0;100,00;Totalt i retning MOHOLT;1237;65;16;31;5;12;1
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T11:00+01:00;2020-02-01T12:00+01:00;2020-02-01;11:00;12:00;383;50,0;1;1;0;4;98,96;Totalt i retning SLUPPEN;363;16;2;12;0;2;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T11:00+01:00;2020-02-01T12:00+01:00;2020-02-01;11:00;12:00;1685;75,0;1;1;0;4;99,76;Totalt;1600;81;18;43;5;14;1
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T12:00+01:00;2020-02-01T13:00+01:00;2020-02-01;12:00;13:00;481;100,0;1;1;0;0;100,00;1;463;18;7;8;0;3;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T12:00+01:00;2020-02-01T13:00+01:00;2020-02-01;12:00;13:00;433;100,0;1;1;0;0;100,00;2;414;19;7;9;0;3;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T12:00+01:00;2020-02-01T13:00+01:00;2020-02-01;12:00;13:00;1097;100,0;1;1;0;0;100,00;3;1026;71;19;31;6;15;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T12:00+01:00;2020-02-01T13:00+01:00;2020-02-01;12:00;13:00;-;0,0;1;1;0;-;-;4;-;-;-;-;-;-;-
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T12:00+01:00;2020-02-01T13:00+01:00;2020-02-01;12:00;13:00;1581;100,0;1;1;0;1;99,94;Totalt i retning MOHOLT;1491;89;26;39;6;18;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T12:00+01:00;2020-02-01T13:00+01:00;2020-02-01;12:00;13:00;440;50,0;1;1;0;3;99,32;Totalt i retning SLUPPEN;417;20;7;10;0;3;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T12:00+01:00;2020-02-01T13:00+01:00;2020-02-01;12:00;13:00;2021;75,0;1;1;0;4;99,80;Totalt;1908;109;33;49;6;21;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T13:00+01:00;2020-02-01T14:00+01:00;2020-02-01;13:00;14:00;494;100,0;1;1;0;0;100,00;1;477;17;6;9;0;2;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T13:00+01:00;2020-02-01T14:00+01:00;2020-02-01;13:00;14:00;498;100,0;1;1;0;0;100,00;2;473;25;8;15;1;1;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T13:00+01:00;2020-02-01T14:00+01:00;2020-02-01;13:00;14:00;1092;100,0;1;1;0;0;100,00;3;1035;57;8;31;4;14;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T13:00+01:00;2020-02-01T14:00+01:00;2020-02-01;13:00;14:00;-;0,0;1;1;0;-;-;4;-;-;-;-;-;-;-
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T13:00+01:00;2020-02-01T14:00+01:00;2020-02-01;13:00;14:00;1586;100,0;1;1;0;0;100,00;Totalt i retning MOHOLT;1512;74;14;40;4;16;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T13:00+01:00;2020-02-01T14:00+01:00;2020-02-01;13:00;14:00;523;50,0;1;1;0;19;96,37;Totalt i retning SLUPPEN;478;26;8;15;1;2;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T13:00+01:00;2020-02-01T14:00+01:00;2020-02-01;13:00;14:00;2109;75,0;1;1;0;19;99,10;Totalt;1990;100;22;55;5;18;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T14:00+01:00;2020-02-01T15:00+01:00;2020-02-01;14:00;15:00;513;100,0;1;1;0;0;100,00;1;500;13;5;8;0;0;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T14:00+01:00;2020-02-01T15:00+01:00;2020-02-01;14:00;15:00;529;100,0;1;1;0;0;100,00;2;514;15;5;7;1;2;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T14:00+01:00;2020-02-01T15:00+01:00;2020-02-01;14:00;15:00;1112;100,0;1;1;0;0;100,00;3;1051;61;17;29;3;11;1
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T14:00+01:00;2020-02-01T15:00+01:00;2020-02-01;14:00;15:00;-;0,0;1;1;0;-;-;4;-;-;-;-;-;-;-
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T14:00+01:00;2020-02-01T15:00+01:00;2020-02-01;14:00;15:00;1626;100,0;1;1;0;1;99,94;Totalt i retning MOHOLT;1551;74;22;37;3;11;1
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T14:00+01:00;2020-02-01T15:00+01:00;2020-02-01;14:00;15:00;537;50,0;1;1;0;8;98,51;Totalt i retning SLUPPEN;514;15;5;7;1;2;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T14:00+01:00;2020-02-01T15:00+01:00;2020-02-01;14:00;15:00;2163;75,0;1;1;0;9;99,58;Totalt;2065;89;27;44;4;13;1
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T15:00+01:00;2020-02-01T16:00+01:00;2020-02-01;15:00;16:00;475;100,0;1;1;0;0;100,00;1;459;16;11;5;0;0;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T15:00+01:00;2020-02-01T16:00+01:00;2020-02-01;15:00;16:00;586;100,0;1;1;0;0;100,00;2;563;23;9;13;0;1;0
35002V72811;MOHOLTLIA;EV6 S76D1 m2823;2020-02-01T15:00+01:00;2020-02-01T16:00+01:00;2020-02-01;15:00;16:00;1050;100,0;1;1;0;0;100,00;3;1000;50;10;23;9;7;1
