Detector;Time;qPKW;vPKW
16219V72812_3;840;106;40
81077V72158_1;840;237;40
16219V72812_4;840;66;40
21801V72158_1;840;342;40
81077V72158_2;840;511;40
16219V72812_1;840;561;40
21801V72158_2;840;207;40
88356V72157_2;840;28;40
88356V72157_6;840;121;40
88356V72157_1;840;127;40
81077V72158_4;840;115;40
88356V72157_4;840;9;40
81077V72158_4;900;233;40
21801V72158_2;900;235;40
88356V72157_6;900;149;40
16219V72812_4;900;89;40
88356V72157_1;900;189;40
16219V72812_1;900;647;40
81077V72158_3;900;371;40
88356V72157_4;900;10;40
81077V72158_2;900;459;40
16219V72812_3;900;128;40
81077V72158_1;900;432;40
88356V72157_2;900;40;40
21801V72158_1;900;394;40
16219V72812_2;900;551;40
16219V72812_2;960;527;40
81077V72158_2;960;491;40
16219V72812_4;960;101;40
16219V72812_1;960;641;40
88356V72157_1;960;168;40
16219V72812_3;960;146;40
81077V72158_1;960;403;40
88356V72157_2;960;41;40
88356V72157_6;960;129;40
81077V72158_3;960;323;40
88356V72157_4;960;18;40
21801V72158_1;960;375;40
81077V72158_4;960;190;40
21801V72158_2;960;262;40
16219V72812_4;1020;39;40
16219V72812_1;1020;642;40
81077V72158_2;1020;470;40
81077V72158_3;1020;311;40
81077V72158_1;1020;283;40
16219V72812_2;1020;382;40
16219V72812_3;1020;137;40
88356V72157_1;1020;111;40
81077V72158_4;1020;141;40
88356V72157_6;1020;99;40
21801V72158_1;1020;350;40
88356V72157_4;1020;15;40
21801V72158_2;1020;285;40
88356V72157_2;1020;21;40
21801V72158_2;1080;210;40
16219V72812_2;1080;373;40
81077V72158_4;1080;150;40
88356V72157_1;1080;121;40
81077V72158_2;1080;431;40
16219V72812_1;1080;454;40
88356V72157_2;1080;31;40
81077V72158_1;1080;243;40
88356V72157_4;1080;10;40
16219V72812_4;1080;39;40
88356V72157_6;1080;99;40
16219V72812_3;1080;84;40
21801V72158_1;1080;309;40
81077V72158_3;1080;254;40
21801V72158_2;1140;147;40
88356V72157_1;1140;64;40
81077V72158_1;1140;179;40
16219V72812_3;1140;52;40
21801V72158_1;1140;215;40
88356V72157_2;1140;23;40
16219V72812_2;1140;311;40
88356V72157_4;1140;9;40
81077V72158_4;1140;115;40
16219V72812_4;1140;30;40
81077V72158_2;1140;409;40
16219V72812_1;1140;362;40
88356V72157_6;1140;66;40
81077V72158_3;1140;222;40
16219V72812_2;1200;436;40
81077V72158_3;1200;210;40
16219V72812_3;1200;53;40
88356V72157_1;1200;90;40
16219V72812_1;1200;311;40
21801V72158_1;1200;289;40
81077V72158_1;1200;172;40
16219V72812_4;1200;44;40
88356V72157_2;1200;16;40
88356V72157_6;1200;74;40
81077V72158_2;1200;379;40
88356V72157_4;1200;8;40
21801V72158_2;1200;165;40
81077V72158_4;1200;88;40
88356V72157_4;1260;6;40
16219V72812_3;1260;30;40
88356V72157_2;1260;9;40
88356V72157_6;1260;71;40
21801V72158_2;1260;61;40
81077V72158_4;1260;48;40
21801V72158_1;1260;170;40
88356V72157_1;1260;51;40
81077V72158_1;1260;106;40
81077V72158_2;1260;286;40
16219V72812_4;1260;27;40
16219V72812_1;1260;212;40
81077V72158_3;1260;146;40
16219V72812_2;1260;314;40
88356V72157_2;1320;12;40
88356V72157_4;1320;13;40
81077V72158_3;1320;141;40
21801V72158_2;1320;107;40
16219V72812_1;1320;170;40
16219V72812_2;1320;283;40
21801V72158_1;1320;221;40
16219V72812_3;1320;28;40
81077V72158_1;1320;18;40
81077V72158_2;1320;114;40
88356V72157_1;1320;98;40
81077V72158_4;1320;22;40
88356V72157_6;1320;167;40
16219V72812_4;1320;24;40
88356V72157_4;1380;8;40
16219V72812_2;1380;122;40
16219V72812_1;1380;61;40
21801V72158_2;1380;50;40
21801V72158_1;1380;86;40
88356V72157_6;1380;75;40
88356V72157_2;1380;6;40
88356V72157_1;1380;28;40
81077V72158_4;1380;13;40
81077V72158_3;1380;68;40
81077V72158_2;1380;43;40
81077V72158_1;1380;3;40
16219V72812_3;1380;10;40
16219V72812_4;1380;11;40
