Detector ID;Detector Name;Detector Lane;Direction;Detector reference;SUMO Lane ID;Type;Position;Speed Limit
77022V72359;OSLOVEGEN;2;Selsbakk;RV706 S1D1 m2495;198515223#3_0;in-between;0;40
78492V2394249;Rotvollekra;1;Stjørdal;RV706 S2D1 m6338;285538049_0;in-between;0;40
78492V2394249;Rotvollekra;2;Trondheim;RV706 S2D1 m6338;251410714_0;in-between;0;40
78492V2394249;Rotvollekra;3;Stjørdal;RV706 S2D1 m6338;285538049_1;in-between;0;40
78492V2394249;Rotvollekra;4;Trondheim;RV706 S2D1 m6338;251410714_1;in-between;0;40
81008V41567;Festningsgata;1;Rosenborg;FV6666 S1D1 m1857;-4973733#0_0;in-between;0;40
81008V41567;Festningsgata;2;Samfundet;FV6666 S1D1 m1857;4973733#0_0;in-between;0;40
81077V72158;Havnegata;1;Lademoen;RV706 S1D1 m8478;37524433#0_0;in-between;0;40
81077V72158;Havnegata;2;Ila;RV706 S1D1 m8478;93266476#0_0;in-between;0;40
81077V72158;Havnegata;3;Lademoen;RV706 S1D1 m8478;37524433#0_1;in-between;0;40
81077V72158;Havnegata;4;Ila;RV706 S1D1 m8478;93266476#0_1;in-between;0;40
88356V72157;Jernbanebrua;1;Trondheim S.;FV6692 S1D1 m243;505301148_0;in-between;0;40
88356V72157;Jernbanebrua;2;Fjordgata;FV6692 S1D1 m243;-505301148_2;in-between;0;40
88356V72157;Jernbanebrua;4;Fjordgata;FV6692 S1D1 m243;-505301148_1;in-between;0;40
88356V72157;Jernbanebrua;6;Fjordgata;FV6692 S1D1 m243;-505301148_0;in-between;0;40
94210V2411536;Grillstadtunnelen vest;1;HF FRA Stjørdal;EV6 S76D1 m7308;190438939_0;in-between;0;40
94210V2411536;Grillstadtunnelen vest;2;Trondheim;EV6 S76D1 m7308;282657544_0;in-between;0;40
94210V2411536;Grillstadtunnelen vest;3;HF FRA Stjørdal;EV6 S76D1 m7308;190438939_1;in-between;0;40
94210V2411536;Grillstadtunnelen vest;4;Trondheim;EV6 S76D1 m7308;282657544_1;in-between;0;40
